gene_row_idx,gene_identifier,degree,degree_bin
932,1337,117,5
933,1339,413,9
934,1340,170,7
935,1345,167,7
936,1346,110,5
937,1347,125,6
938,1349,94,5
939,1350,91,4
940,1351,357,9
941,1352,163,7
942,1353,126,6
943,1355,102,5
944,1356,170,7
945,1357,13,1
946,1358,26,1
947,1359,92,4
948,1360,47,2
949,1361,118,6
950,1362,157,7
951,1363,310,8
952,1364,95,5
953,1365,107,5
954,1366,136,6
955,1368,106,5
956,1369,56,3
957,1370,33,2
958,1371,116,5
959,1373,245,8
960,1374,253,8
961,1375,96,5
962,1376,175,7
963,1378,149,6
964,1379,13,1
965,1380,143,6
966,1381,145,6
967,1382,199,7
968,1384,142,6
969,1385,998,9
970,1386,658,9
971,1387,1025,9
972,1388,62,3
973,1389,279,8
974,1390,169,7
975,1392,299,8
976,1393,177,7
977,1394,155,7
978,1395,263,8
979,1396,1219,9
980,1397,122,6
981,1398,751,9
982,1399,557,9
983,1400,253,8
984,1401,225,8
985,1404,55,3
986,1406,259,8
987,1407,220,8
988,1408,155,7
989,1409,121,6
990,1410,302,8
991,1411,54,3
992,1412,50,2
993,1413,34,2
994,1414,31,2
995,1415,50,2
996,1417,30,2
997,1418,17,1
998,1419,24,1
999,1420,33,2
1000,1421,61,3
1001,1427,23,1
1002,1428,130,6
1003,1429,415,9
1004,1431,187,7
1005,1432,983,9
1006,1434,248,8
1007,1435,233,8
1008,1436,341,9
1009,1437,258,8
1010,1438,129,6
1011,1439,215,8
1012,1440,214,8
1013,1441,133,6
1014,1442,54,3
1015,1443,28,2
1016,1444,8,1
1017,1445,915,9
1018,1446,42,2
1019,1447,83,4
1020,1448,47,2
1021,1452,383,9
1022,1453,334,9
1023,1454,582,9
1024,1455,223,8
1025,1456,311,8
1026,1457,1042,9
1027,1459,540,9
1028,1460,621,9
1029,1462,265,8
1030,1463,165,7
1031,1464,205,7
1032,1465,1269,9
1033,1466,101,5
1034,1468,215,8
1035,1469,53,3
1036,1470,71,4
1037,1471,283,8
1038,1472,73,4
1039,1473,33,2
1040,1474,70,3
1041,1475,562,9
1042,1476,111,5
1043,1477,80,4
1044,1478,145,6
1045,1479,186,7
1046,1482,427,9
1047,1485,27,2
1048,1486,51,3
1049,1487,471,9
1050,1488,270,8
1051,1489,73,4
1052,1490,480,9
1053,1491,189,7
1054,1493,187,7
1055,1495,399,9
1056,1496,130,6
1057,1497,230,8
1058,1499,1645,9
1059,1500,534,9
1060,1501,137,6
1061,1503,283,8
1062,1504,231,8
1063,1506,21,1
1064,1508,358,9
1065,1509,401,9
1066,1510,82,4
