lv_id,target_set_id,target_set_label,node_type,metapath,metapath_g_orientation,target_id,target_name,gene_identifier,gene_symbol,pair_rank,path_rank,path_score,path_nodes_ids,path_nodes_names
LV57,hypothyroidism,Hypothyroidism disease term,Disease,DlAuG,GuAlD,DOID:1459,hypothyroidism,970,CD70,2,2,0.1183798815964109,DOID:1459|UBERON:0002369|970,hypothyroidism|adrenal gland|CD70
LV57,hypothyroidism,Hypothyroidism disease term,Disease,DlAuG,GuAlD,DOID:1459,hypothyroidism,267,AMFR,3,1,0.13056561894245206,DOID:1459|UBERON:0002107|267,hypothyroidism|liver|AMFR
LV603,neutrophil_bp,Neutrophil biological process terms,Biological Process,BPpGdAdG,GdAdGpBP,GO:1990266,neutrophil migration,728,C5AR1,1,1,0.12516841240955356,GO:1990266|3553|UBERON:0000995|728,neutrophil migration|IL1B|uterus|C5AR1
LV603,neutrophil_bp,Neutrophil biological process terms,Biological Process,BPpGdAdG,GdAdGpBP,GO:1990266,neutrophil migration,728,C5AR1,1,2,0.12516841240955356,GO:1990266|3576|UBERON:0000995|728,neutrophil migration|CXCL8|uterus|C5AR1
LV603,neutrophil_bp,Neutrophil biological process terms,Biological Process,BPpGdAdG,GdAdGpBP,GO:1990266,neutrophil migration,728,C5AR1,1,3,0.12516841240955356,GO:1990266|6355|UBERON:0000995|728,neutrophil migration|CCL8|uterus|C5AR1
LV603,neutrophil_bp,Neutrophil biological process terms,Biological Process,BPpGdAdG,GdAdGpBP,GO:0030593,neutrophil chemotaxis,728,C5AR1,2,1,0.12516841240955356,GO:0030593|3553|UBERON:0000995|728,neutrophil chemotaxis|IL1B|uterus|C5AR1
LV603,neutrophil_bp,Neutrophil biological process terms,Biological Process,BPpGdAdG,GdAdGpBP,GO:0030593,neutrophil chemotaxis,728,C5AR1,2,2,0.12516841240955356,GO:0030593|3576|UBERON:0000995|728,neutrophil chemotaxis|CXCL8|uterus|C5AR1
LV603,neutrophil_bp,Neutrophil biological process terms,Biological Process,BPpGdAdG,GdAdGpBP,GO:0030593,neutrophil chemotaxis,728,C5AR1,2,3,0.12516841240955356,GO:0030593|6355|UBERON:0000995|728,neutrophil chemotaxis|CCL8|uterus|C5AR1
LV603,neutrophil_bp,Neutrophil biological process terms,Biological Process,BPpGdAdG,GdAdGpBP,GO:0030593,neutrophil chemotaxis,187,APLNR,3,1,0.1717591937517651,GO:0030593|6367|UBERON:0002367|187,neutrophil chemotaxis|CCL22|prostate gland|APLNR
LV603,neutrophil_bp,Neutrophil biological process terms,Biological Process,BPpGdAdG,GdAdGpBP,GO:0030593,neutrophil chemotaxis,187,APLNR,3,2,0.12516841240955356,GO:0030593|3553|UBERON:0000995|187,neutrophil chemotaxis|IL1B|uterus|APLNR
LV603,neutrophil_bp,Neutrophil biological process terms,Biological Process,BPpGdAdG,GdAdGpBP,GO:0030593,neutrophil chemotaxis,187,APLNR,3,3,0.12516841240955356,GO:0030593|3576|UBERON:0000995|187,neutrophil chemotaxis|CXCL8|uterus|APLNR
LV603,neutrophil_bp,Neutrophil biological process terms,Biological Process,BPpGiG,GiGpBP,GO:0090024,negative regulation of neutrophil chemotaxis,728,C5AR1,1,1,0.7598356856515925,GO:0090024|27202|728,negative regulation of neutrophil chemotaxis|C5AR2|C5AR1
LV603,neutrophil_bp,Neutrophil biological process terms,Biological Process,BPpGiG,GiGpBP,GO:1902623,negative regulation of neutrophil migration,728,C5AR1,2,1,0.7598356856515925,GO:1902623|27202|728,negative regulation of neutrophil migration|C5AR2|C5AR1
LV603,neutrophil_bp,Neutrophil biological process terms,Biological Process,BPpGiG,GiGpBP,GO:0090022,regulation of neutrophil chemotaxis,728,C5AR1,3,1,0.7598356856515925,GO:0090022|27202|728,regulation of neutrophil chemotaxis|C5AR2|C5AR1
LV603,neutrophil_bp,Neutrophil biological process terms,Biological Process,BPpG<rG,Gr>GpBP,GO:0043312,neutrophil degranulation,675,BRCA2,1,1,0.6389431042462724,GO:0043312|6845|675,neutrophil degranulation|VAMP7|BRCA2
LV603,neutrophil_bp,Neutrophil biological process terms,Biological Process,BPpG<rG,Gr>GpBP,GO:0002283,neutrophil activation involved in immune response,675,BRCA2,2,1,0.6389431042462724,GO:0002283|6845|675,neutrophil activation involved in immune response|VAMP7|BRCA2
LV603,neutrophil_bp,Neutrophil biological process terms,Biological Process,BPpG<rG,Gr>GpBP,GO:0042119,neutrophil activation,675,BRCA2,3,1,0.6389431042462724,GO:0042119|6845|675,neutrophil activation|VAMP7|BRCA2
